CCSR Category,Rationale for Default Assignment
DIG001,06 Infectious conditions
INF003,06 Infectious conditions
NVS001,06 Infectious conditions
INF003,0 Not Applicable
RSP002,06 Infectious conditions
MUS001,06 Infectious conditions
MUS002,06 Infectious conditions
INF002,06 Infectious conditions
GEN004,06 Infectious conditions
INF005,0 Not Applicable
INF009,06 Infectious conditions
RSP016,06 Infectious conditions
NVS014,06 Infectious conditions
INF009,0 Not Applicable
INF008,06 Infectious conditions
INF001,0 Not Applicable
INF001,12 Only one CCSR category matches the ICD-10-CM codebook chapter
RSP006,12 Only one CCSR category matches the ICD-10-CM codebook chapter
RSP011,12 Only one CCSR category matches the ICD-10-CM codebook chapter
RSP016,12 Only one CCSR category matches the ICD-10-CM codebook chapter
NVS001,12 Only one CCSR category matches the ICD-10-CM codebook chapter
NVS014,12 Only one CCSR category matches the ICD-10-CM codebook chapter
NVS002,12 Only one CCSR category matches the ICD-10-CM codebook chapter
NVS017,12 Only one CCSR category matches the ICD-10-CM codebook chapter
NVS020,12 Only one CCSR category matches the ICD-10-CM codebook chapter
MUS001,12 Only one CCSR category matches the ICD-10-CM codebook chapter
MUS025,12 Only one CCSR category matches the ICD-10-CM codebook chapter
GEN004,12 Only one CCSR category matches the ICD-10-CM codebook chapter
GEN006,12 Only one CCSR category matches the ICD-10-CM codebook chapter
GEN007,12 Only one CCSR category matches the ICD-10-CM codebook chapter
GEN013,12 Only one CCSR category matches the ICD-10-CM codebook chapter
GEN018,12 Only one CCSR category matches the ICD-10-CM codebook chapter
DIG016,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INF001,06 Infectious conditions
EYE012,12 Only one CCSR category matches the ICD-10-CM codebook chapter
EYE001,12 Only one CCSR category matches the ICD-10-CM codebook chapter
EYE005,12 Only one CCSR category matches the ICD-10-CM codebook chapter
EAR002,12 Only one CCSR category matches the ICD-10-CM codebook chapter
EAR006,12 Only one CCSR category matches the ICD-10-CM codebook chapter
END015,12 Only one CCSR category matches the ICD-10-CM codebook chapter
END001,12 Only one CCSR category matches the ICD-10-CM codebook chapter
DIG025,12 Only one CCSR category matches the ICD-10-CM codebook chapter
CIR004,12 Only one CCSR category matches the ICD-10-CM codebook chapter
