CCSR Category,CCSR Category Description,Clinical Domain,ICD-10-PCS Root Operations,ICD-10-PCS Body Parts,ICD-10-PCS Devices,ICD-10-PCS Approaches
ADM001,Transfusion of blood and blood products,Administration of Therapeutic Substances,Transfusion,"Peripheral Vein, Central Vein","Red Blood Cells, Platelets, Frozen Red Cells, Whole Blood, White Cells","Percutaneous, Open"
ADM002,Transfusion of plasma,Administration of Therapeutic Substances,Transfusion,"Peripheral Vein, Central Vein","Frozen Plasma, Fresh Plasma, Plasma Cryoprecipitate","Percutaneous, Open"
ADM003,Administration of albumin and globulin,Administration of Therapeutic Substances,Transfusion,"Peripheral Vein, Central Vein","Globulin, Serum Albumin","Percutaneous, Open"
ADM004,Transfusion of clotting factors,Administration of Therapeutic Substances,Transfusion,"Vein, Peripheral Vein, Central Vein","4-Factor Prothrombin Complex Concentrate, Antihemophilic Factors, Factor IX, Fibrinogen","Percutaneous, Open"
ADM005,Administration of thrombolytics and platelet inhibitors,Administration of Therapeutic Substances,Introduction,"Peripheral Vein, Peripheral Artery, Central Vein, Central Artery, Coronary Artery, Heart","Thrombolytic, Platelet Inhibitor","Percutaneous, Open"
ADM006,Infusion of vasopressor,Administration of Therapeutic Substances,Introduction,"Peripheral Vein, Central Vein, Peripheral Artery, Central Artery","Vasopressor, Synthetic Human Angiotensin II","Percutaneous, Open"
ADM007,Intravenous induction of labor,Administration of Therapeutic Substances,Introduction,"Peripheral Vein, Subcutaneous Tissue, Central Vein, Peripheral Artery, Central Artery",Hormone,"Percutaneous, Open"
ADM008,Cervical ripening,Administration of Therapeutic Substances,Introduction,Female Reproductive,Hormone,"Via Natural or Artificial Opening, Percutaneous"
ADM009,Rh immunoglobulin and other serum infusion,Administration of Therapeutic Substances,Introduction,"Peripheral Vein, Central Vein, Central Artery, Peripheral Artery","""Serum, Toxoid and Vaccine""","Percutaneous, Open"
ADM010,Vaccinations,Administration of Therapeutic Substances,Introduction,"Muscle, Subcutaneous Tissue, Skin and Mucous Membranes, Mouth and Pharynx, Nose","""Serum, Toxoid and Vaccine""","Percutaneous, External, Via Natural or Artificial Opening"
ADM011,"Administration and transfusion of bone marrow, stem cells, pancreatic islet cells, and t-cells",Administration of Therapeutic Substances,"Transfusion, Introduction","Central Vein, Peripheral Vein, Biliary and Pancreatic Tract, Spinal Canal, Cranial Cavity and Brain","""Stem Cells, Hematopoietic"", Bone Marrow, ""Stem Cells, Cord Blood"", ""Stem Cells, T-cell Depleted Hematopoietic"", ""Hematopoietic Stem/Progenitor Cells, Genetically Modified"", Pancreatic Islet Cells, Brexucabtagene Autoleucel Immunotherapy, ""Stem Cells, Embryonic"", ""Stem Cells, Somatic"", Lisocabtagene Maraleucel Immunotherapy","Percutaneous, Open, Via Natural or Artificial Opening"
ADM012,Chemotherapy,Administration of Therapeutic Substances,Introduction,"Central Vein, Peripheral Vein, Spinal Canal, Mouth and Pharynx, Peritoneal Cavity, Subcutaneous Tissue, Peripheral Artery, Genitourinary Tract, Cranial Cavity and Brain, Central Artery, Epidural Space, Eye, Muscle, Lymphatics, Bone Marrow, Respiratory Tract, Upper GI, Pleural Cavity, Lower GI, Skin and Mucous Membranes, Bones, Biliary and Pancreatic Tract, Female Reproductive, Pericardial Cavity, Male Reproductive, Joints, Nose, Ear","Antineoplastic, Venetoclax Antineoplastic, Cytarabine and Daunorubicin Liposome Antineoplastic, Engineered Autologous Chimeric Antigen Receptor T-cell Immunotherapy, Blinatumomab Antineoplastic Immunotherapy, Gilteritinib Antineoplastic, Tagraxofusp-erzs Antineoplastic, Atezolizumab Antineoplastic, Iobenguane I-131 Antineoplastic, Apalutamide Antineoplastic, Erdafitinib Antineoplastic","Percutaneous, External, Via Natural or Artificial Opening, Open, Via Natural or Artificial Opening Endoscopic"
ADM013,Peritoneal dialysis,Administration of Therapeutic Substances,Irrigation,Peritoneal Cavity,Dialysate,Percutaneous
